filename,latency_ms,phone_found,phone_conf,knife_found,knife_conf,cup_found,cup_conf
frame_cam1_1768395182000.png,31.2087,0,0,0,0,1,0.712314
frame_cam1_1768498387000.png,31.0677,1,0.35333,0,0,1,0.770098
frame_cam1_1768604625000.png,31.9391,0,0,0,0,1,0.770098
frame_cam1_1768706584000.png,31.3021,0,0,0,0,1,0.795756
frame_cam1_1768806772000.png,31.0561,0,0,0,0,1,0.712314
frame_cam1_1768912020000.png,31.0953,0,0,0,0,1,0.877009
frame_cam1_1769014654000.png,31.2255,0,0,0,0,1,0.795756
frame_cam1_1769114045000.png,31.5039,1,0.287686,0,0,1,0.840532
frame_cam1_1769212139000.png,31.1279,1,0.425016,0,0,1,0.85976
frame_cam1_1769311214000.png,31.4056,0,0,0,0,1,0.853141
frame_cam1_1769412022000.png,31.1174,1,0.287686,0,0,1,0.875985
frame_cam1_1769510907000.png,31.2741,1,0.35333,0,0,1,0.875985
frame_cam1_1769610237000.png,31.8359,1,0.5,0,0,1,0.85976
frame_cam1_1769708042000.png,31.2752,1,0.388571,0,0,1,0.85976
frame_cam1_1769809813000.png,31.4283,1,0.388571,0,0,1,0.853141
frame_cam1_1769911764000.png,31.2147,1,0.5,0,0,1,0.64667
frame_cam1_1770014185000.png,31.1222,1,0.319615,0,0,1,0.875985
frame_cam1_1770113356000.png,31.1532,1,0.61143,1,0.273394,1,0.875985
